IncLevel1	IncLevel2	IncLevelDifference
NA,0.0	1.0,0.0	-0.5
0.052,1.0	0.0,0.0	0.526
0.096,0.0	NA,0.241	-0.193
1.0,NA	NA,0.0	1.0
NA,0.329	1.0,1.0	-0.671
0.051,NA	0.0,1.0	-0.449
1.0,0.161	1.0,NA	-0.419
NA,0.389	0.0,NA	0.389
1.0,NA	NA,0.0	1.0
NA,0.285	1.0,0.0	-0.215
NA,0.0	1.0,NA	-1.0
0.0,NA	0.262,NA	-0.262
0.0,NA	NA,1.0	-1.0
0.0,0.0	0.171,0.121	-0.146
NA,0.485	0.0,NA	0.485
NA,0.471	0.0,NA	0.471
1.0,1.0	0.117,1.0	0.442
NA,0.0	NA,1.0	-1.0
1.0,NA	0.0,NA	1.0
0.0,0.0	0.43,NA	-0.43
0.0,NA	NA,1.0	-1.0
1.0,0.0	NA,0.0	0.5
NA,0.0	1.0,NA	-1.0
0.201,1.0	0.43,1.0	-0.114
1.0,0.467	NA,1.0	-0.266
NA,0.0	NA,1.0	-1.0
1.0,0.485	NA,0.0	0.742
1.0,NA	NA,0.0	1.0
0.0,0.268	0.0,0.0	0.134
NA,0.0	NA,1.0	-1.0
0.0,0.112	NA,0.336	-0.28
0.197,1.0	NA,1.0	-0.401
1.0,NA	NA,0.0	1.0
1.0,1.0	0.778,1.0	0.111
0.0,0.17	0.17,0.0	0.0
0.31,NA	0.0,1.0	-0.19
