ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
969	0,1	0,1	1,0	0,1	530	49	1	1.0	NA,0.085	1.0,0.0	-0.415
1004	1,0	3,0	1,0	3,0	412	49	1	1.0	0.038,NA	0.038,NA	0.0
1005	0,3	0,0	1,0	1,1	169	49	1	1.0	NA,1.0	0.225,0.0	0.887
1014	0,1	2,3	0,1	1,2	145	49	1	1.0	0.0,0.101	0.0,0.145	-0.022
1064	1,1	3,0	0,1	0,1	212	49	1	1.0	0.072,1.0	NA,0.188	0.348
1086	1,0	0,0	0,0	0,1	2827	49	1	1.0	1.0,NA	NA,0.0	1.0
1179	1,0	0,0	0,0	1,0	143	49	1	1.0	1.0,NA	0.0,NA	1.0
1287	0,0	6,5	0,1	2,5	275	49	1	1.0	0.0,0.0	0.0,0.034	-0.017
1291	2,0	2,6	0,2	1,1	288	49	1	1.0	0.145,0.0	0.0,0.254	-0.055
1434	1,2	14,15	1,2	14,11	157	49	0.914029218053	1.0	0.022,0.04	0.022,0.054	-0.007
1460	1,0	1,0	0,0	0,1	122	49	1	1.0	0.287,NA	NA,0.0	0.287
1493	0,1	0,1	1,0	0,0	145	49	1	1.0	NA,0.253	1.0,NA	-0.747
1494	0,0	1,0	1,0	1,0	170	49	1	1.0	0.0,NA	0.224,NA	-0.224
1497	8,6	0,0	9,10	1,0	2504	49	1	1.0	1.0,1.0	0.15,1.0	0.425
1499	1,2	0,1	1,0	0,0	222	49	1	1.0	1.0,0.306	1.0,NA	-0.347
1535	0,1	0,0	4,0	0,1	793	49	1	1.0	NA,1.0	1.0,0.0	0.5
1586	0,0	1,0	4,0	0,0	1103	49	1	1.0	0.0,NA	1.0,NA	-1.0
1602	0,0	1,0	1,0	1,0	226	49	1	1.0	0.0,NA	0.178,NA	-0.178
1642	0,1	0,3	0,0	1,2	557	49	1	1.0	NA,0.028	0.0,0.0	0.028
1765	0,2	5,2	0,0	1,0	441	49	1	1.0	0.0,0.1	0.0,NA	0.05
1767	2,0	3,2	1,2	1,0	1358	49	0.733066632371	1.0	0.023,0.0	0.035,1.0	-0.506
1793	1,1	4,1	0,0	1,0	122	49	1	1.0	0.091,0.287	0.0,NA	0.189
1794	2,0	4,2	3,2	1,3	402	49	0.159122032377	1.0	0.057,0.0	0.268,0.075	-0.143
1912	0,1	0,1	0,0	4,1	133	49	1	1.0	NA,0.269	0.0,0.0	0.269
1930	3,0	1,0	1,1	0,0	255	49	1	1.0	0.366,NA	1.0,1.0	-0.634
1931	0,1	0,0	1,1	0,1	520	49	1	1.0	NA,1.0	1.0,0.086	0.457
2022	0,0	3,0	2,0	0,2	583	49	1	1.0	0.0,NA	1.0,0.0	-0.5
2044	0,1	0,0	0,0	1,0	1050	49	1	1.0	NA,1.0	0.0,NA	1.0
2074	0,0	1,1	0,1	2,0	133	49	1	1.0	0.0,0.0	0.0,1.0	-0.5
2097	2,2	7,6	3,4	4,4	490	49	0.142829808631	1.0	0.028,0.032	0.07,0.091	-0.051
2098	1,0	4,3	0,0	5,6	183	49	1	1.0	0.063,0.0	0.0,0.0	0.032
2110	0,1	1,0	0,1	1,0	647	49	1	1.0	0.0,1.0	0.0,1.0	0.0
2112	0,1	0,1	0,0	1,0	217	49	1	1.0	NA,0.184	0.0,NA	0.184
2224	3,0	0,0	0,2	1,0	579	49	1	1.0	1.0,NA	0.0,1.0	0.5
2262	1,0	1,4	0,0	5,4	243	49	1	1.0	0.168,0.0	0.0,0.0	0.084
2264	0,1	3,3	0,2	3,0	370	49	0.430008041155	1.0	0.0,0.042	0.0,1.0	-0.479
2366	0,3	1,1	1,0	0,0	230	49	1	1.0	0.0,0.39	1.0,NA	-0.805
2369	1,0	0,1	0,0	1,0	217	49	1	1.0	1.0,0.0	0.0,NA	0.5
2372	1,0	1,0	1,0	0,0	276	49	1	1.0	0.151,NA	1.0,NA	-0.849
2373	0,0	1,0	0,1	1,0	331	49	1	1.0	0.0,NA	0.0,1.0	-0.5
