ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
5008	0,2	0,0	0,0	0,1	378	49	1
5058	1,0	0,0	0,0	0,2	199	49	1
5064	0,0	0,1	0,1	0,0	142	49	1
5089	4,2	0,0	2,0	1,0	312	49	1
5090	3,2	5,1	2,0	4,4	305	49	0.125074685544
5199	2,0	1,1	0,0	1,0	138	49	1
5257	0,0	0,1	1,0	0,0	350	49	1
5272	0,0	1,0	1,0	0,0	1518	49	1
5288	0,2	4,4	2,1	5,2	178	49	0.327011149281
5351	2,3	1,1	2,0	0,1	3066	49	0.616498710756
5513	0,0	0,1	1,0	1,1	1624	49	1
5525	1,1	1,1	3,0	0,0	924	49	1
5541	0,1	0,0	0,0	1,0	206	49	1
5577	0,0	1,1	0,1	2,0	293	49	1
5590	1,1	1,1	0,0	0,1	282	49	1
5623	0,0	3,4	0,1	1,0	307	49	1
5641	2,1	1,0	2,0	0,0	1640	49	1
5667	1,1	4,4	0,1	1,1	153	49	0.25788279514
5912	1,0	3,2	0,0	0,1	300	49	1
5979	0,1	0,0	0,0	1,3	479	49	1
5991	0,1	0,2	0,2	4,1	676	49	1
6010	0,1	1,2	0,0	3,2	242	49	1
