ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4893	1,3	3,5	0,0	5,0	98	49	1	1.0	0.143,0.231	0.0,NA	0.187
4894	4,3	2,3	0,0	2,2	98	49	2.35911079675e-05	0.00120314650634	0.5,0.333	0.0,0.0	0.416
4906	1,0	0,0	0,0	1,1	98	49	1	1.0	1.0,NA	0.0,0.0	1.0
5006	0,0	1,0	1,2	0,1	98	49	1	1.0	0.0,NA	1.0,0.5	-0.75
5058	1,0	0,0	0,0	0,2	98	49	1	1.0	1.0,NA	NA,0.0	1.0
5064	0,0	0,1	0,1	0,0	98	49	1	1.0	NA,0.0	NA,1.0	-1.0
5089	4,2	0,0	1,0	1,0	98	49	1	1.0	1.0,1.0	0.333,NA	0.667
5090	3,2	5,1	1,0	4,4	98	49	0.00480351593893	0.122489656443	0.231,0.5	0.111,0.0	0.31
5199	2,0	1,1	0,0	1,0	98	49	1	1.0	0.5,0.0	0.0,NA	0.25
5257	0,0	0,1	1,0	0,0	98	49	1	1.0	NA,0.0	1.0,NA	-1.0
5272	0,0	1,0	1,0	0,0	98	49	1	1.0	0.0,NA	1.0,NA	-1.0
5288	0,2	4,4	2,1	5,2	98	49	0.292251951745	1.0	0.0,0.2	0.167,0.2	-0.083
5513	0,0	0,1	1,0	1,1	98	49	1	1.0	NA,0.0	0.333,0.0	-0.167
5525	0,0	1,1	1,0	0,0	98	49	1	1.0	0.0,0.0	1.0,NA	-1.0
5541	0,1	0,0	0,0	1,0	98	49	1	1.0	NA,1.0	0.0,NA	1.0
5577	0,0	1,1	0,1	2,0	98	49	1	1.0	0.0,0.0	0.0,1.0	-0.5
5590	1,0	1,1	0,0	0,1	98	49	1	1.0	0.333,0.0	NA,0.0	0.167
5623	0,0	3,4	0,1	1,0	98	49	1	1.0	0.0,0.0	0.0,1.0	-0.5
5667	1,1	4,4	0,1	1,1	98	49	0.161252162532	1.0	0.111,0.111	0.0,0.333	-0.056
5912	1,0	3,2	0,0	0,1	98	49	1	1.0	0.143,0.0	NA,0.0	0.071
5979	0,1	0,0	0,0	1,3	98	49	1	1.0	NA,1.0	0.0,0.0	1.0
5991	0,1	0,2	0,0	4,1	98	49	1	1.0	NA,0.2	0.0,0.0	0.2
6010	0,1	1,2	0,0	3,2	98	49	1	1.0	0.0,0.2	0.0,0.0	0.1
