ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
13	1,0	1,0	1,0	0,0	98	49	1
14	2,1	1,2	0,1	1,1	98	49	0.072613747941
87	0,1	1,1	0,0	0,1	98	49	1
230	1,0	4,4	1,1	4,1	98	49	0.726423922341
255	0,0	1,1	0,2	0,3	98	49	1
257	0,0	0,1	1,0	1,0	98	49	1
272	2,0	0,0	0,0	0,1	98	49	1
324	1,0	2,3	1,0	0,0	98	49	1
334	2,0	2,0	1,0	0,0	98	49	1
370	1,1	1,1	0,1	0,0	98	49	1
371	1,0	3,1	0,1	0,1	98	49	1
373	0,1	7,3	0,0	1,2	98	49	1
374	1,0	2,4	0,0	1,1	98	49	1
376	0,1	4,2	0,0	4,1	98	49	1
526	0,0	0,1	0,1	0,0	98	49	1
574	0,0	1,0	1,0	1,0	98	49	1
619	0,0	3,0	1,0	1,0	98	49	1
663	0,1	0,0	0,0	0,1	98	49	1
727	1,0	5,4	0,1	2,1	98	49	1
729	1,0	0,2	0,3	1,1	98	49	0.294169302341
791	0,1	1,0	0,1	1,0	98	49	1
894	0,1	3,3	0,0	3,1	98	49	1
907	1,1	0,0	0,0	1,1	98	49	1.77269918744e-08
962	0,1	0,0	0,0	0,1	98	49	1
969	0,1	0,1	1,0	0,1	98	49	1
1004	1,0	3,0	1,0	3,0	98	49	1
1005	0,3	0,0	0,0	1,1	98	49	1
1014	0,1	2,3	0,1	1,2	98	49	1
1064	1,1	3,0	0,1	0,1	98	49	1
1086	1,0	0,0	0,0	0,1	98	49	1
1287	0,0	6,5	0,1	2,5	98	49	1
1291	2,0	2,6	0,1	1,1	98	49	0.64217314134
1434	0,2	14,15	1,2	14,11	98	49	0.406813252892
1460	1,0	1,0	0,0	0,1	98	49	1
1493	0,1	0,1	1,0	0,0	98	49	1
1494	0,0	1,0	1,0	1,0	98	49	1
1499	0,2	0,1	1,0	0,0	98	49	1
1602	0,0	1,0	1,0	1,0	98	49	1
1642	0,1	0,3	0,0	1,2	98	49	1
1767	2,0	3,2	1,2	1,0	98	49	0.00172373157398
1793	1,1	4,1	0,0	1,0	98	49	1
1794	1,0	4,2	0,1	1,3	98	49	1
1912	0,1	0,1	0,0	4,1	98	49	1
1930	1,0	1,0	1,1	0,0	98	49	1
1931	0,1	0,0	1,1	0,1	98	49	1
2022	0,0	3,0	2,0	0,2	98	49	1
2044	0,1	0,0	0,0	1,0	98	49	1
2074	0,0	1,1	0,1	2,0	98	49	1
2097	2,2	7,6	3,3	4,4	98	49	0.218804440511
2098	1,0	4,3	0,0	5,6	98	49	1
2110	0,1	1,0	0,1	1,0	98	49	1
2112	0,1	0,1	0,0	1,0	98	49	1
2262	1,0	1,4	0,0	5,4	98	49	1
2264	0,1	3,3	0,1	3,0	98	49	1
2366	0,1	1,1	1,0	0,0	98	49	1
2369	1,0	0,1	0,0	1,0	98	49	1
2372	1,0	1,0	1,0	0,0	98	49	1
2373	0,0	1,0	0,1	1,0	98	49	1
2497	1,0	6,3	0,0	0,2	98	49	1
2803	0,0	1,1	1,0	1,0	98	49	1
2804	0,0	1,0	1,0	1,0	98	49	1
2815	0,0	0,1	0,1	0,0	98	49	1
3038	0,0	5,2	1,0	1,2	98	49	1
3237	1,0	0,0	0,1	0,1	98	49	1
3364	0,1	0,2	0,3	2,1	98	49	1
3568	0,0	0,1	1,0	1,0	98	49	1
3779	0,1	0,2	1,0	2,2	98	49	1
3949	1,0	2,1	0,0	1,0	98	49	1
3967	1,0	0,1	0,2	3,1	98	49	0.644694583642
4028	0,0	0,1	0,1	0,0	98	49	1
4031	0,0	0,2	0,1	0,0	98	49	1
4055	0,1	0,1	0,0	0,4	98	49	1
4120	1,0	0,0	0,1	1,0	98	49	1
4252	0,0	3,2	0,1	1,1	98	49	1
4324	0,1	0,1	0,1	0,0	98	49	1
4327	0,0	0,1	0,1	0,0	98	49	1
4368	2,3	2,6	1,0	5,3	98	49	1
4823	0,1	3,7	2,0	3,5	98	49	0.312809488597
4825	0,1	3,4	0,1	0,1	98	49	1
4893	1,3	3,5	0,0	5,0	98	49	1
4894	4,3	2,3	0,0	2,2	98	49	2.35911079675e-05
4906	1,0	0,0	0,0	1,1	98	49	1
5006	0,0	1,0	1,2	0,1	98	49	1
5058	1,0	0,0	0,0	0,2	98	49	1
5064	0,0	0,1	0,1	0,0	98	49	1
5089	4,2	0,0	1,0	1,0	98	49	1
5090	3,2	5,1	1,0	4,4	98	49	0.00480351593893
5199	2,0	1,1	0,0	1,0	98	49	1
5257	0,0	0,1	1,0	0,0	98	49	1
5272	0,0	1,0	1,0	0,0	98	49	1
5288	0,2	4,4	2,1	5,2	98	49	0.292251951745
5513	0,0	0,1	1,0	1,1	98	49	1
5525	0,0	1,1	1,0	0,0	98	49	1
5541	0,1	0,0	0,0	1,0	98	49	1
5577	0,0	1,1	0,1	2,0	98	49	1
5590	1,0	1,1	0,0	0,1	98	49	1
5623	0,0	3,4	0,1	1,0	98	49	1
5667	1,1	4,4	0,1	1,1	98	49	0.161252162532
5912	1,0	3,2	0,0	0,1	98	49	1
5979	0,1	0,0	0,0	1,3	98	49	1
5991	0,1	0,2	0,0	4,1	98	49	1
6010	0,1	1,2	0,0	3,2	98	49	1
