ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
13	1,0	1,0	1,0	0,0	98	49	1	1.0
14	2,1	1,2	0,1	1,1	98	49	0.072613747941	1.0
87	0,1	1,1	0,0	0,1	98	49	1	1.0
230	1,0	4,4	1,1	4,1	98	49	0.726423922341	1.0
255	0,0	1,1	0,2	0,3	98	49	1	1.0
257	0,0	0,1	1,0	1,0	98	49	1	1.0
272	2,0	0,0	0,0	0,1	98	49	1	1.0
324	1,0	2,3	1,0	0,0	98	49	1	1.0
334	2,0	2,0	1,0	0,0	98	49	1	1.0
370	1,1	1,1	0,1	0,0	98	49	1	1.0
371	1,0	3,1	0,1	0,1	98	49	1	1.0
373	0,1	7,3	0,0	1,2	98	49	1	1.0
374	1,0	2,4	0,0	1,1	98	49	1	1.0
376	0,1	4,2	0,0	4,1	98	49	1	1.0
526	0,0	0,1	0,1	0,0	98	49	1	1.0
574	0,0	1,0	1,0	1,0	98	49	1	1.0
619	0,0	3,0	1,0	1,0	98	49	1	1.0
663	0,1	0,0	0,0	0,1	98	49	1	1.0
727	1,0	5,4	0,1	2,1	98	49	1	1.0
729	1,0	0,2	0,3	1,1	98	49	0.294169302341	1.0
791	0,1	1,0	0,1	1,0	98	49	1	1.0
894	0,1	3,3	0,0	3,1	98	49	1	1.0
907	1,1	0,0	0,0	1,1	98	49	1.77269918744e-08	1.80815317119e-06
962	0,1	0,0	0,0	0,1	98	49	1	1.0
969	0,1	0,1	1,0	0,1	98	49	1	1.0
1004	1,0	3,0	1,0	3,0	98	49	1	1.0
1005	0,3	0,0	0,0	1,1	98	49	1	1.0
1014	0,1	2,3	0,1	1,2	98	49	1	1.0
1064	1,1	3,0	0,1	0,1	98	49	1	1.0
1086	1,0	0,0	0,0	0,1	98	49	1	1.0
1287	0,0	6,5	0,1	2,5	98	49	1	1.0
1291	2,0	2,6	0,1	1,1	98	49	0.64217314134	1.0
1434	0,2	14,15	1,2	14,11	98	49	0.406813252892	1.0
1460	1,0	1,0	0,0	0,1	98	49	1	1.0
1493	0,1	0,1	1,0	0,0	98	49	1	1.0
1494	0,0	1,0	1,0	1,0	98	49	1	1.0
1499	0,2	0,1	1,0	0,0	98	49	1	1.0
1602	0,0	1,0	1,0	1,0	98	49	1	1.0
1642	0,1	0,3	0,0	1,2	98	49	1	1.0
