IncLevel1	IncLevel2	IncLevelDifference
NA,0.0	1.0,0.0	-0.5
0.143,0.0	NA,0.333	-0.262
1.0,NA	NA,0.0	1.0
NA,0.333	1.0,1.0	-0.667
0.111,NA	0.0,NA	0.111
NA,0.389	0.0,NA	0.389
1.0,NA	NA,0.0	1.0
NA,0.333	1.0,0.0	-0.167
NA,0.0	1.0,NA	-1.0
0.0,NA	0.333,NA	-0.333
0.0,NA	NA,1.0	-1.0
0.0,0.0	0.2,0.143	-0.171
NA,0.485	0.0,NA	0.485
NA,0.471	0.0,NA	0.471
NA,1.0	0.0,NA	1.0
NA,0.0	NA,1.0	-1.0
1.0,NA	0.0,NA	1.0
0.0,0.0	0.43,NA	-0.43
1.0,0.0	NA,0.0	0.5
NA,0.0	1.0,NA	-1.0
0.0,1.0	0.5,NA	0.0
1.0,0.467	NA,1.0	-0.266
NA,0.0	NA,1.0	-1.0
1.0,0.485	NA,0.0	0.742
1.0,NA	NA,0.0	1.0
0.0,0.268	0.0,0.0	0.134
0.0,0.112	NA,0.336	-0.28
1.0,NA	NA,0.0	1.0
1.0,1.0	0.778,1.0	0.111
0.0,0.17	0.17,0.0	0.0
0.333,NA	0.0,1.0	-0.167
